"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
"... < 0 DM",30,"existing credits paid back duly till now","furniture/equipment",2406,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",4,"real estate",23,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","education",1239,NA,"1  <= ... < 4 years",0.04,"male","single","none",4,NA,61,"none","for free",1,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",12,"existing credits paid back duly till now","radio/television",3399,NA,"... >= 7 years",0.02,"male","single","none",3,"car or other",37,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"... >= 200 DM",12,"delay in paying off in the past","car (new)",2247,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",2,"car or other",36,"stores","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,6,"existing credits paid back duly till now","furniture/equipment",1766,"... <  100 DM","1  <= ... < 4 years",0.01,"male","married/widowed","none",2,"building society savings agreement/life insurance",21,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2473,"... <  100 DM","unemployed",0.04,"male","single","none",1,"car or other",25,"none","own",1,"unemployed/unskilled - non-resident",1,"no","yes","no"
NA,12,"existing credits paid back duly till now","business",1542,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",4,"car or other",36,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,18,"critical account","car (used)",3850,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",1,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",3650,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",4,"car or other",22,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",36,"existing credits paid back duly till now","furniture/equipment",3446,"... <  100 DM","... >= 7 years",0.04,"male","single","none",2,"car or other",42,"none","own",1,"skilled employee/official",2,"no","yes","no"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","furniture/equipment",3001,"... <  100 DM","4  <= ... < 7 years",0.02,"female","divorced/separated/married","none",4,"real estate",40,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
NA,36,"existing credits paid back duly till now","car (new)",3079,NA,"1  <= ... < 4 years",0.04,"male","single","none",4,"real estate",36,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,18,"critical account","radio/television",6070,"... <  100 DM","... >= 7 years",0.03,"male","single","none",4,"car or other",33,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,10,"critical account","furniture/equipment",2146,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",3,"real estate",23,"none","rent",2,"skilled employee/official",1,"no","yes","yes"
NA,60,"critical account","car (new)",13756,NA,"... >= 7 years",0.02,"male","single","none",4,NA,63,"bank","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",60,"all credits at this bank paid back duly","others",14782,"100 <= ... <  500 DM","... >= 7 years",0.03,"female","divorced/separated/married","none",4,NA,60,"bank","for free",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... < 0 DM",48,"all credits at this bank paid back duly","business",7685,"... <  100 DM","4  <= ... < 7 years",0.02,"female","divorced/separated/married","guarantor",4,"car or other",37,"none","rent",1,"skilled employee/official",1,"no","yes","no"
NA,18,"delay in paying off in the past","radio/television",2320,"... <  100 DM","unemployed",0.02,"male","married/widowed","none",3,"real estate",34,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,7,"delay in paying off in the past","radio/television",846,NA,"... >= 7 years",0.03,"male","single","none",4,NA,36,"none","for free",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (new)",14318,"... <  100 DM","... >= 7 years",0.04,"male","single","none",2,NA,57,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,6,"critical account","car (new)",362,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"car or other",52,"none","own",2,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",20,"existing credits paid back duly till now","furniture/equipment",2212,NA,"4  <= ... < 7 years",0.04,"male","single","none",4,"car or other",39,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (used)",12976,"... <  100 DM","unemployed",0.03,"female","divorced/separated/married","none",4,NA,38,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,22,"existing credits paid back duly till now","car (new)",1283,NA,"4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",25,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",12,"existing credits paid back duly till now","car (new)",1330,"... <  100 DM","... < 1 year",0.04,"male","single","none",1,"real estate",26,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,30,"delay in paying off in the past","business",4272,"100 <= ... <  500 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"building society savings agreement/life insurance",26,"none","own",2,"unskilled - resident",1,"no","yes","yes"
NA,18,"critical account","radio/television",2238,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",1,"car or other",25,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,18,"existing credits paid back duly till now","radio/television",1126,NA,"... < 1 year",0.04,"female","divorced/separated/married","none",2,"real estate",21,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"critical account","furniture/equipment",7374,"... <  100 DM","unemployed",0.04,"male","single","none",4,"building society savings agreement/life insurance",40,"stores","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",15,"critical account","business",2326,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.02,"male","single","none",4,"car or other",27,"bank","own",1,"skilled employee/official",1,"no","yes","yes"
NA,9,"existing credits paid back duly till now","business",1449,"... <  100 DM","4  <= ... < 7 years",0.03,"female","divorced/separated/married","none",2,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,18,"existing credits paid back duly till now","car (new)",1820,"... <  100 DM","1  <= ... < 4 years",0.02,"male","married/widowed","none",2,"building society savings agreement/life insurance",30,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","furniture/equipment",983,"... >= 1000 DM","... < 1 year",0.01,"female","divorced/separated/married","none",4,"real estate",19,"none","rent",1,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",36,"existing credits paid back duly till now","car (new)",3249,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",4,NA,39,"bank","for free",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
"... < 0 DM",6,"critical account","radio/television",1957,"... <  100 DM","4  <= ... < 7 years",0.01,"female","divorced/separated/married","none",4,"car or other",31,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,9,"critical account","furniture/equipment",2406,"... <  100 DM","unemployed",0.02,"male","single","none",3,"car or other",31,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"0 <= ... < 200 DM",39,"delay in paying off in the past","education",11760,"100 <= ... <  500 DM","4  <= ... < 7 years",0.02,"male","single","none",3,NA,32,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",2578,"... <  100 DM","unemployed",0.03,"female","divorced/separated/married","none",4,NA,55,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"... < 0 DM",36,"critical account","furniture/equipment",2348,"... <  100 DM","1  <= ... < 4 years",0.03,"male","married/widowed","none",2,"building society savings agreement/life insurance",46,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1223,"... <  100 DM","... >= 7 years",0.01,"male","divorced/separated","none",1,"real estate",46,"none","rent",2,"skilled employee/official",1,"no","yes","no"
NA,24,"critical account","radio/television",1516,"... >= 1000 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",1,"real estate",43,"none","own",2,"unskilled - resident",1,"no","yes","yes"
NA,18,"existing credits paid back duly till now","radio/television",1473,"... <  100 DM","... < 1 year",0.03,"male","married/widowed","none",4,"real estate",39,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"critical account","business",1887,NA,"1  <= ... < 4 years",0.04,"male","married/widowed","none",4,"real estate",28,"bank","own",2,"skilled employee/official",1,"no","yes","yes"
NA,24,"delay in paying off in the past","business",8648,"... <  100 DM","... < 1 year",0.02,"male","single","none",2,"car or other",27,"bank","own",2,"skilled employee/official",1,"yes","yes","no"
NA,14,"delay in paying off in the past","car (new)",802,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",27,"none","own",2,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"delay in paying off in the past","car (new)",2899,NA,"... >= 7 years",0.04,"male","single","none",4,"car or other",43,"none","own",1,"skilled employee/official",2,"no","yes","yes"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",2039,"... <  100 DM","... < 1 year",0.01,"male","married/widowed","none",1,"building society savings agreement/life insurance",22,"none","own",1,"skilled employee/official",1,"yes","yes","no"
NA,24,"critical account","car (used)",2197,NA,"4  <= ... < 7 years",0.04,"male","single","none",4,"car or other",43,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",15,"existing credits paid back duly till now","radio/television",1053,"... <  100 DM","... < 1 year",0.04,"male","married/widowed","none",2,"real estate",27,"none","own",1,"skilled employee/official",1,"no","no","yes"
NA,24,"existing credits paid back duly till now","radio/television",3235,"500 <= ... < 1000 DM","... >= 7 years",0.03,"male","divorced/separated","none",2,"car or other",26,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... >= 200 DM",12,"critical account","car (new)",939,"500 <= ... < 1000 DM","4  <= ... < 7 years",0.04,"male","married/widowed","none",2,"real estate",28,"none","own",3,"skilled employee/official",1,"yes","yes","no"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","radio/television",1967,"... <  100 DM","... >= 7 years",0.04,"female","divorced/separated/married","none",4,"car or other",20,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,33,"critical account","car (used)",7253,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",2,"car or other",35,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,12,"critical account","business",2292,"... <  100 DM","unemployed",0.04,"male","single","none",2,"car or other",42,"stores","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,10,"existing credits paid back duly till now","car (new)",1597,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.03,"male","single","none",2,NA,40,"none","rent",1,"unskilled - resident",2,"no","no","yes"
"... < 0 DM",24,"existing credits paid back duly till now","car (new)",1381,NA,"1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",35,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,36,"critical account","car (used)",5842,"... <  100 DM","... >= 7 years",0.02,"male","single","none",2,"building society savings agreement/life insurance",35,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","car (new)",2579,"... <  100 DM","... < 1 year",0.04,"male","single","none",1,"real estate",33,"none","own",1,"unskilled - resident",2,"no","yes","no"
"... < 0 DM",18,"delay in paying off in the past","education",8471,NA,"1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",2,"car or other",23,"none","rent",2,"skilled employee/official",1,"yes","yes","yes"
